#,Kana,Kanji,Type,Definition/s
0,あっ,,int,"Ah!, Oh!"
1,ああ,,int,"like that, that way"
2,あい,愛,"n,n-suf,vs",love
3,あいかわらず,,"adv,n","as ever, as usual, the same"
4,あいさつ,挨拶,"n,vs","greeting, salutation"
5,あいじょう,愛情,n,"love, affection"
6,あいず,合図,"n,vs","sign, signal"
7,アイスクリーム,,n,ice cream
8,あいする,愛する,vs-s,to love
9,あいだ,間,n,"space, room, time"
10,あいて,相手,n,"companion, partner"
11,アイデア/アイディア,,n,idea
12,あいにく,,"adj-na,adv,n","unfortunately, Sorry, but...."
13,あいまい,,"adj-na,n","vague, ambiguous"
14,アイロン,,n,(electric) iron
15,あう,合う,u-v,"to fit, to suit"
16,あう,会う,u-v,"to meet, to interview"
17,あう,遇う,u-v,"to meet, to encounter"
18,アウト,,n,out
19,あお,青,n,"blue, green, green light"
20,あおい,青い,adj,"blue, pale, inexperienced"
21,あおぐ,扇ぐ,v5g,"to fan, to flap"
22,あおじろい,青白い,adj,"pale, pallid"
23,あか,赤,n,the colour red
24,あかい,赤い,adj,red
25,あかちゃん,,n,"baby, infant"
26,あかり,明かり,n,"lamplight, light (in general), brightness"
27,あがる,上る,v5r,"to rise, to ascend, to go up, to climb"
28,あかるい,明い,,"bright, cheerful"
29,あかんぼう,,n,baby
30,あき,明き,n,"room, time to spare, emptiness"
31,あき,空き,n,"room, time to spare, emptiness"
32,あき,秋,n-adv,"autumn, fall"
33,あきらか,明らか,"adj-na,n","obvious, evident, clear"
34,あきらめる,諦める,u-v,"to give up, to abandon"
35,あきる,飽きる,u-v,"to get tired of, to lose interest in"
36,あきれる,,u-v,"to be amazed, to be shocked"
37,あく,開く,v5k,to open (eg a festival)
38,あく,空く,"v5k,vi","to open, to become open, to become empty"
39,あくしゅ,握手,"n,vs",handshake
40,アクセサリー,,n,accessory
41,アクセント,,n,accent
42,あくび,,n,yawn
43,あくま,悪魔,n,"devil, demon, evil spirit"
44,あくまで,飽くまで,adv,"to the end, to the last, stubbornly"
45,あくる~,明くる~,,"next, following"
46,あけがた,明け方,"n-adv,n-t",dawn
47,あける,開ける,v1,to become opened up
48,あける,明ける,v1,"to dawn, to become daylight"
49,あげる,上げる,v1,"to give, to raise"
50,あげる,揚げる,v1,"to lift, to fry"
51,あげる,挙げる,v1,"to raise, to fly"
52,あげる (=やる),,v1,to do for
53,あこがれる,憧れる,v1,"to long for, to yearn after, to admire"
54,あさ,朝,"n-adv,n-t",morning
55,あさい,浅い,adj,"shallow, superficial"
56,あさって,,"n-adv,n-t",day after tomorrow
57,あし,足,n,"foot, leg"
58,あじ,味,"adj-na,n","flavor, taste"
59,アジア,,n,Asia
60,あしあと,足跡,n,footprints
61,あした,,n-t,tomorrow
